zone,year,month,tarikh_hijri,fajar,syuruk,zohor,asar,maghrib,isyak,updated_date,created_date
JHR01,2023,08,1445-01-14,1690840200,1690844520,1690866660,1690878720,1690888560,1690892940,2023-05-07 04:23:50.046000+00:00,2023-05-07 04:23:50.046000+00:00
JHR01,2023,08,1445-01-15,1690926600,1690930920,1690953060,1690965120,1690974960,1690979340,2023-05-07 04:23:50.046000+00:00,2023-05-07 04:23:50.046000+00:00
JHR01,2023,08,1445-01-16,1691013000,1691017320,1691039460,1691051520,1691061360,1691065740,2023-05-07 04:23:50.046000+00:00,2023-05-07 04:23:50.046000+00:00
JHR01,2023,08,1445-01-17,1691099400,1691103720,1691125860,1691137860,1691147760,1691152080,2023-05-07 04:23:50.046000+00:00,2023-05-07 04:23:50.046000+00:00
JHR01,2023,08,1445-01-18,1691185800,1691190120,1691212200,1691224260,1691234160,1691238480,2023-05-07 04:23:50.046000+00:00,2023-05-07 04:23:50.046000+00:00
JHR01,2023,08,1445-01-19,1691272260,1691276520,1691298600,1691310660,1691320560,1691324880,2023-05-07 04:23:50.046000+00:00,2023-05-07 04:23:50.046000+00:00
JHR01,2023,08,1445-01-20,1691358660,1691362920,1691385000,1691397000,1691406960,1691411280,2023-05-07 04:23:50.046000+00:00,2023-05-07 04:23:50.046000+00:00
JHR01,2023,08,1445-01-21,1691445060,1691449320,1691471400,1691483400,1691493300,1691497620,2023-05-07 04:23:50.046000+00:00,2023-05-07 04:23:50.046000+00:00
JHR01,2023,08,1445-01-22,1691531460,1691535660,1691557800,1691569740,1691579700,1691584020,2023-05-07 04:23:50.046000+00:00,2023-05-07 04:23:50.046000+00:00
JHR01,2023,08,1445-01-23,1691617860,1691622060,1691644200,1691656140,1691666100,1691670420,2023-05-07 04:23:50.046000+00:00,2023-05-07 04:23:50.046000+00:00
JHR01,2023,08,1445-01-24,1691704260,1691708460,1691730600,1691742480,1691752500,1691756760,2023-05-07 04:23:50.046000+00:00,2023-05-07 04:23:50.046000+00:00
JHR01,2023,08,1445-01-25,1691790660,1691794860,1691817000,1691828880,1691838900,1691843160,2023-05-07 04:23:50.046000+00:00,2023-05-07 04:23:50.046000+00:00
JHR01,2023,08,1445-01-26,1691877060,1691881260,1691903340,1691915220,1691925240,1691929560,2023-05-07 04:23:50.046000+00:00,2023-05-07 04:23:50.046000+00:00
JHR01,2023,08,1445-01-27,1691963460,1691967660,1691989740,1692001620,1692011640,1692015900,2023-05-07 04:23:50.046000+00:00,2023-05-07 04:23:50.046000+00:00
